media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,desvio0,desvio1,desvio2,desvio3,desvio4,desvio5,desvio6,desvio7,desvio8,desvio9,desvio10,desvio11,desvio12,classe
5.008520,-1.679993,1.367168,-0.903828,1.379478,0.661908,0.600241,0.732320,0.531893,0.905725,0.315844,0.495011,0.344268,4.730293,2.117796,1.108072,1.329252,1.194401,0.531442,0.455930,0.495372,0.399450,0.650245,0.294036,0.286911,0.267815,engine_idling
4.967458,-1.644145,1.389613,-0.849487,1.404423,0.726805,0.602459,0.689578,0.485692,0.878771,0.322666,0.514600,0.358582,4.676174,2.091363,1.121140,1.291144,1.206964,0.550329,0.478061,0.463519,0.389328,0.616240,0.295655,0.290571,0.272118,engine_idling
4.765840,-1.695108,1.432707,-0.871152,1.385393,0.745130,0.650865,0.804459,0.595281,0.899480,0.307442,0.556881,0.413620,4.428393,2.203022,1.118102,1.367695,1.124972,0.555788,0.454180,0.495127,0.438437,0.590358,0.341334,0.322120,0.270491,engine_idling
4.865763,-1.568452,1.482525,-0.847381,1.342910,0.712411,0.556553,0.783355,0.573574,0.939124,0.335154,0.593270,0.401406,4.545194,2.073112,1.167911,1.341902,1.082594,0.535795,0.415704,0.494801,0.432007,0.624603,0.322282,0.334531,0.279572,engine_idling
4.821249,-1.598435,1.470326,-0.833134,1.390672,0.701786,0.562132,0.755721,0.552037,0.941776,0.354262,0.582190,0.389819,4.514913,2.090185,1.169091,1.315733,1.153114,0.535603,0.415982,0.476678,0.408796,0.638447,0.297300,0.329787,0.263991,engine_idling
4.787999,-1.617876,1.467841,-0.830061,1.408158,0.727531,0.548567,0.770875,0.512947,0.933143,0.331742,0.577060,0.390240,4.471124,2.107223,1.162961,1.325208,1.179202,0.557898,0.397539,0.477015,0.413833,0.636069,0.301569,0.305387,0.270578,engine_idling
4.874741,-1.548915,1.484994,-0.857093,1.362671,0.681477,0.504935,0.756074,0.504867,0.906724,0.295307,0.584153,0.414620,4.535621,2.061376,1.162066,1.360993,1.102452,0.490190,0.370768,0.435837,0.414424,0.614214,0.307752,0.309557,0.293383,engine_idling
4.853698,-1.589078,1.465481,-0.835684,1.359465,0.674278,0.549337,0.761168,0.505921,0.890999,0.301012,0.599838,0.406197,4.522939,2.093977,1.153203,1.325254,1.114705,0.486422,0.394540,0.443523,0.423276,0.610471,0.301466,0.314426,0.292406,engine_idling
4.802065,-1.659856,1.437008,-0.829185,1.321407,0.700443,0.611559,0.773498,0.519689,0.903683,0.321460,0.640094,0.397217,4.479499,2.154999,1.136482,1.316872,1.083683,0.536893,0.424333,0.467734,0.433640,0.629311,0.308249,0.340149,0.269584,engine_idling
4.770098,-1.663796,1.422021,-0.891036,1.333535,0.700015,0.622151,0.761773,0.547209,0.907888,0.296433,0.645308,0.421283,4.420330,2.184188,1.095993,1.390367,1.068497,0.519126,0.417032,0.452930,0.423400,0.609018,0.311386,0.329591,0.272822,engine_idling
4.773251,-1.602003,1.426654,-0.898124,1.345678,0.701654,0.579351,0.753855,0.538291,0.911165,0.292050,0.580803,0.384678,4.460971,2.091142,1.144901,1.367708,1.104686,0.544008,0.421535,0.473667,0.413988,0.635812,0.310897,0.327664,0.256108,engine_idling
