media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,desvio0,desvio1,desvio2,desvio3,desvio4,desvio5,desvio6,desvio7,desvio8,desvio9,desvio10,desvio11,desvio12,classe
5.672074,0.294318,0.315635,-0.168073,1.195187,-0.249267,0.436539,-0.123175,-0.004495,0.614082,-0.003266,-0.169134,-0.497314,6.336828,1.062228,1.033352,0.625631,1.773918,0.607361,1.019480,0.542372,0.668746,1.186377,0.626392,0.534881,0.410900,street_music
5.676693,0.346539,0.369684,-0.139542,1.122813,-0.121420,0.407375,-0.042150,0.057707,0.529377,-0.036972,-0.158490,-0.590047,6.425493,1.180113,1.140746,0.743601,1.785350,0.701857,1.082583,0.696800,0.805207,1.199152,0.677416,0.592736,0.373445,street_music
5.301663,0.269768,0.459823,-0.172011,0.963573,0.016751,0.361409,-0.197737,0.089399,0.493922,-0.251264,-0.199071,-0.465227,5.959048,1.026485,1.067517,0.610522,1.522845,0.670832,0.928586,0.602587,0.724143,1.047915,0.509028,0.515852,0.425926,street_music
5.513384,0.469176,0.402624,-0.161450,1.036687,-0.150047,0.437294,-0.233374,-0.155366,0.230617,-0.333648,-0.119415,-0.366293,6.080368,1.112511,0.926963,0.555606,1.536137,0.552295,0.919058,0.509448,0.503968,0.758001,0.444028,0.523247,0.426392,street_music
5.561022,0.046546,0.425814,-0.050752,1.170911,-0.630368,0.434442,-0.158881,-0.327307,0.403565,0.007093,0.008750,-0.218351,5.929428,0.853048,0.883201,0.633631,1.509436,0.720562,0.876602,0.469703,0.472956,0.745674,0.498829,0.474463,0.427799,street_music
5.187680,-0.234538,0.505314,-0.037310,1.242392,-0.590370,0.309945,-0.158213,-0.081705,0.484950,0.105373,0.063674,-0.245332,5.544150,0.930048,0.966134,0.599000,1.581576,0.651252,0.784835,0.470407,0.519398,0.857910,0.547166,0.518455,0.385910,street_music
7.013476,-3.373667,0.378899,-2.200402,0.648023,-1.496887,-0.617616,-1.322603,-0.778388,0.484799,-0.530036,0.271955,-0.494151,7.647725,3.162208,1.831225,1.889088,1.487463,1.197483,0.807319,1.084058,0.621425,1.078071,0.442848,0.963074,0.444406,street_music
7.297419,-4.261573,0.412925,-2.111835,0.347017,-1.149443,-1.465349,-1.618445,-0.513213,0.549408,-0.613612,0.177551,-0.533813,7.958273,3.918295,1.661493,1.867147,1.252944,0.943379,1.216619,1.350421,0.554089,1.201962,0.571341,0.855343,0.517027,street_music
6.822707,-4.263928,0.434985,-2.232978,0.391947,-1.511465,-1.282491,-1.372861,-0.878490,0.457060,-0.800070,0.161490,-0.422688,7.372927,4.028570,1.503264,2.150534,1.226604,1.302758,1.179448,1.183351,0.743317,1.019406,0.599796,0.751681,0.528088,street_music
6.941453,-4.116913,0.445348,-2.696068,0.445345,-1.344790,-1.427806,-1.294632,-0.740770,0.514512,-0.690741,0.261262,-0.436741,7.542188,3.886137,1.595469,2.497368,1.334464,1.145022,1.219431,1.079178,0.579175,1.108869,0.537250,0.882750,0.497991,street_music
7.390311,-3.785843,0.143260,-2.406598,0.447820,-1.334470,-1.412457,-1.307227,-0.810095,0.464740,-0.673977,0.152634,-0.463104,8.005050,3.560258,1.407909,2.187583,1.298577,1.073846,1.175799,1.096912,0.588465,1.064793,0.528862,0.819121,0.490911,street_music
7.761860,-3.768389,-0.590722,-1.723068,0.563631,-1.520939,-1.490396,-1.290887,-0.553019,0.277424,-0.396681,0.436157,-0.406666,8.295811,3.646416,1.299893,1.571971,1.309047,1.287576,1.394542,1.152466,0.560230,0.816330,0.417493,0.969512,0.500811,street_music
